Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles,Year,Month
2020-06-30,Bucks,PA,Passenger,1.0,0.0,1.0,21.0,22.0,4.55,2020,6
2020-10-31,Newport,RI,Passenger,0.0,1.0,1.0,83.0,84.0,1.19,2020,10
2023-02-28,Snohomish,WA,Passenger,10924.0,2837.0,13761.0,529580.0,543341.0,2.53,2023,2
2018-09-30,Beaufort,SC,Passenger,1.0,0.0,1.0,39.0,40.0,2.5,2018,9
2020-07-31,Hawaii,HI,Passenger,1.0,0.0,1.0,60.0,61.0,1.64,2020,7
2020-11-30,Montgomery,OH,Passenger,0.0,1.0,1.0,54.0,55.0,1.82,2020,11
2023-09-30,Columbia,OR,Passenger,1.0,0.0,1.0,12.0,13.0,7.69,2023,9
2019-05-31,Lake,FL,Passenger,1.0,0.0,1.0,21.0,22.0,4.55,2019,5
2021-09-30,Rockingham,NH,Passenger,1.0,0.0,1.0,22.0,23.0,4.35,2021,9
2021-08-31,Thurston,WA,Passenger,1713.0,905.0,2618.0,197513.0,200131.0,1.31,2021,8
2022-06-30,Chelan,WA,Passenger,461.0,126.0,587.0,54318.0,54905.0,1.07,2022,6
2020-06-30,Skagit,WA,Truck,1.0,0.0,1.0,32464.0,32465.0,0.0,2020,6
2022-12-31,Calvert,MD,Passenger,0.0,2.0,2.0,82.0,84.0,2.38,2022,12
2018-12-31,Adams,WA,Passenger,5.0,6.0,11.0,12739.0,12750.0,0.09,2018,12
2023-12-31,Alexandria,VA,Passenger,3.0,0.0,3.0,75.0,78.0,3.85,2023,12
2020-02-29,Palm Beach,FL,Passenger,0.0,2.0,2.0,83.0,85.0,2.35,2020,2
2018-12-31,San Juan,PR,Passenger,0.0,1.0,1.0,5.0,6.0,16.67,2018,12
2023-05-31,Orange,NC,Passenger,0.0,1.0,1.0,5.0,6.0,16.67,2023,5
2019-08-31,DeKalb,GA,Passenger,1.0,0.0,1.0,81.0,82.0,1.22,2019,8
2019-05-31,Honolulu,HI,Passenger,2.0,3.0,5.0,517.0,522.0,0.96,2019,5
2023-03-31,Garfield,WA,Passenger,1.0,3.0,4.0,1319.0,1323.0,0.3,2023,3
2021-04-30,Frederick,MD,Passenger,1.0,1.0,2.0,69.0,71.0,2.82,2021,4
2022-12-31,Rockdale,GA,Passenger,1.0,0.0,1.0,7.0,8.0,12.5,2022,12
2020-07-31,Lewis,WA,Truck,0.0,0.0,0.0,26286.0,26286.0,0.0,2020,7
2023-07-31,Whitman,WA,Passenger,160.0,79.0,239.0,21992.0,22231.0,1.08,2023,7
2023-03-31,DuPage,IL,Passenger,2.0,1.0,3.0,36.0,39.0,7.69,2023,3
2022-03-31,Carroll,MD,Passenger,0.0,1.0,1.0,16.0,17.0,5.88,2022,3
2020-12-31,Juneau,AK,Passenger,0.0,1.0,1.0,26.0,27.0,3.7,2020,12
2019-01-31,Pierce,WA,Truck,0.0,0.0,0.0,139097.0,139097.0,0.0,2019,1
2018-02-28,Wahkiakum,WA,Passenger,0.0,2.0,2.0,2860.0,2862.0,0.07,2018,2
2021-02-28,Chelan,WA,Passenger,301.0,88.0,389.0,54486.0,54875.0,0.71,2021,2
2018-01-31,Fulton,GA,Passenger,1.0,0.0,1.0,105.0,106.0,0.94,2018,1
2021-11-30,Hamilton,IN,Passenger,2.0,0.0,2.0,32.0,34.0,5.88,2021,11
2020-08-31,Howard,IN,Passenger,0.0,1.0,1.0,3.0,4.0,25.0,2020,8
2023-09-30,Pierce,WA,Truck,192.0,0.0,192.0,135451.0,135643.0,0.14,2023,9
2020-07-31,Stevens,WA,Truck,0.0,0.0,0.0,18669.0,18669.0,0.0,2020,7
2017-02-28,Columbia,WA,Truck,0.0,0.0,0.0,1529.0,1529.0,0.0,2017,2
2020-09-30,Spokane,WA,Passenger,796.0,512.0,1308.0,318650.0,319958.0,0.41,2020,9
2020-08-31,Carroll,MD,Passenger,0.0,1.0,1.0,18.0,19.0,5.26,2020,8
2020-11-30,Chelan,WA,Passenger,271.0,84.0,355.0,54369.0,54724.0,0.65,2020,11
2021-03-31,Lake,IL,Passenger,2.0,0.0,2.0,165.0,167.0,1.2,2021,3
2020-11-30,Denver,CO,Passenger,1.0,0.0,1.0,120.0,121.0,0.83,2020,11
2021-11-30,Greene,MO,Passenger,0.0,1.0,1.0,29.0,30.0,3.33,2021,11
2020-08-31,Oldham,KY,Passenger,0.0,1.0,1.0,4.0,5.0,20.0,2020,8
2022-03-31,Las Animas,CO,Passenger,1.0,0.0,1.0,1.0,2.0,50.0,2022,3
2018-03-31,Snohomish,WA,Truck,1.0,0.0,1.0,121233.0,121234.0,0.0,2018,3
2022-11-30,Walla Walla,WA,Passenger,201.0,107.0,308.0,35684.0,35992.0,0.86,2022,11
2019-11-30,Hudson,NJ,Passenger,1.0,0.0,1.0,40.0,41.0,2.44,2019,11
2022-03-31,Harford,MD,Passenger,1.0,1.0,2.0,49.0,51.0,3.92,2022,3
2020-04-30,Clay,FL,Passenger,0.0,1.0,1.0,81.0,82.0,1.22,2020,4
2017-06-30,Lumpkin,GA,Passenger,1.0,0.0,1.0,9.0,10.0,10.0,2017,6
2018-03-31,Kitsap,WA,Truck,1.0,0.0,1.0,52961.0,52962.0,0.0,2018,3
2020-10-31,Pacific,WA,Truck,0.0,0.0,0.0,7751.0,7751.0,0.0,2020,10
2017-01-31,Okaloosa,FL,Passenger,1.0,0.0,1.0,191.0,192.0,0.52,2017,1
2019-02-28,Ventura,CA,Passenger,0.0,2.0,2.0,319.0,321.0,0.62,2019,2
2019-08-31,Duval,FL,Passenger,1.0,2.0,3.0,381.0,384.0,0.78,2019,8
2022-11-30,Ada,ID,Passenger,1.0,0.0,1.0,145.0,146.0,0.68,2022,11
2023-10-31,Sacramento,CA,Truck,1.0,0.0,1.0,31.0,32.0,3.12,2023,10
2017-12-31,Cowlitz,WA,Passenger,54.0,67.0,121.0,70744.0,70865.0,0.17,2017,12
2021-11-30,Asotin,WA,Passenger,21.0,17.0,38.0,12743.0,12781.0,0.3,2021,11
2017-11-30,Lincoln,WA,Passenger,2.0,5.0,7.0,7551.0,7558.0,0.09,2017,11
2020-05-31,Duval,FL,Passenger,0.0,2.0,2.0,362.0,364.0,0.55,2020,5
2020-03-31,Honolulu,HI,Passenger,4.0,2.0,6.0,489.0,495.0,1.21,2020,3
2022-03-31,Montgomery,AL,Passenger,0.0,1.0,1.0,38.0,39.0,2.56,2022,3
2023-02-28,Loudoun,VA,Passenger,3.0,1.0,4.0,60.0,64.0,6.25,2023,2
2023-03-31,St. Louis,MO,Passenger,1.0,0.0,1.0,58.0,59.0,1.69,2023,3
2022-02-28,Marion,IA,Passenger,1.0,0.0,1.0,0.0,1.0,100.0,2022,2
2018-03-31,Shelby,TN,Passenger,0.0,1.0,1.0,104.0,105.0,0.95,2018,3
2024-01-31,Charlottesville,VA,Passenger,0.0,1.0,1.0,4.0,5.0,20.0,2024,1
2017-07-31,Island,WA,Passenger,121.0,142.0,263.0,60265.0,60528.0,0.43,2017,7
2021-05-31,Lewis,WA,Truck,0.0,0.0,0.0,26892.0,26892.0,0.0,2021,5
2023-08-31,Stevens,WA,Truck,2.0,0.0,2.0,18705.0,18707.0,0.01,2023,8
2021-10-31,Wahkiakum,WA,Truck,0.0,0.0,0.0,1826.0,1826.0,0.0,2021,10
2022-03-31,St. Louis,MO,Passenger,2.0,0.0,2.0,74.0,76.0,2.63,2022,3
2021-11-30,Dorchester,SC,Passenger,1.0,0.0,1.0,75.0,76.0,1.32,2021,11
2022-07-31,Stafford,VA,Passenger,2.0,1.0,3.0,90.0,93.0,3.23,2022,7
2020-01-31,Wayne,MI,Passenger,0.0,1.0,1.0,59.0,60.0,1.67,2020,1
2021-07-31,Lincoln,WA,Passenger,6.0,15.0,21.0,7719.0,7740.0,0.27,2021,7
2022-04-30,Queens,NY,Passenger,1.0,0.0,1.0,47.0,48.0,2.08,2022,4
2021-10-31,Burlington,NJ,Passenger,0.0,1.0,1.0,121.0,122.0,0.82,2021,10
2022-01-31,Washington,MD,Passenger,2.0,0.0,2.0,12.0,14.0,14.29,2022,1
2023-10-31,Madison,IL,Passenger,1.0,0.0,1.0,16.0,17.0,5.88,2023,10
2017-09-30,Garfield,WA,Passenger,1.0,0.0,1.0,1295.0,1296.0,0.08,2017,9
2023-09-30,Leavenworth,KS,Passenger,0.0,1.0,1.0,82.0,83.0,1.2,2023,9
2020-08-31,Pierce,WA,Passenger,2519.0,1703.0,4222.0,552194.0,556416.0,0.76,2020,8
2020-09-30,Island,WA,Truck,1.0,0.0,1.0,21238.0,21239.0,0.0,2020,9
2020-08-31,Saginaw,MI,Passenger,1.0,0.0,1.0,11.0,12.0,8.33,2020,8
2020-06-30,Benton,WA,Truck,0.0,0.0,0.0,42700.0,42700.0,0.0,2020,6
2021-10-31,Island,WA,Passenger,678.0,333.0,1011.0,62963.0,63974.0,1.58,2021,10
2019-08-31,Deschutes,OR,Passenger,3.0,0.0,3.0,162.0,165.0,1.82,2019,8
2020-10-31,New London,CT,Passenger,1.0,1.0,2.0,238.0,240.0,0.83,2020,10
2023-04-30,Hawaii,HI,Passenger,1.0,0.0,1.0,30.0,31.0,3.23,2023,4
2017-01-31,Franklin,MA,Passenger,0.0,1.0,1.0,5.0,6.0,16.67,2017,1
2018-09-30,Benton,WA,Passenger,188.0,209.0,397.0,132421.0,132818.0,0.3,2018,9
2018-09-30,Orange,CA,Passenger,4.0,1.0,5.0,570.0,575.0,0.87,2018,9
2019-08-31,Anne Arundel,MD,Passenger,1.0,1.0,2.0,432.0,434.0,0.46,2019,8
2017-08-31,Clark,WA,Truck,0.0,0.0,0.0,77891.0,77891.0,0.0,2017,8
2023-05-31,Yakima,WA,Truck,12.0,0.0,12.0,61147.0,61159.0,0.02,2023,5
2019-08-31,El Paso,CO,Passenger,2.0,1.0,3.0,751.0,754.0,0.4,2019,8
2018-10-31,Hardin,KY,Passenger,0.0,1.0,1.0,110.0,111.0,0.9,2018,10
2019-04-30,Kalamazoo,MI,Passenger,1.0,0.0,1.0,13.0,14.0,7.14,2019,4
2022-02-28,Penobscot,ME,Passenger,0.0,1.0,1.0,7.0,8.0,12.5,2022,2
2017-05-31,King,WA,Truck,8.0,1.0,9.0,188247.0,188256.0,0.0,2017,5
2020-12-31,Pend Oreille,WA,Passenger,12.0,4.0,16.0,9167.0,9183.0,0.17,2020,12
2022-01-31,Pima,AZ,Passenger,1.0,1.0,2.0,269.0,271.0,0.74,2022,1
2020-06-30,Juneau,AK,Passenger,0.0,2.0,2.0,29.0,31.0,6.45,2020,6
2022-01-31,Ulster,NY,Passenger,1.0,0.0,1.0,14.0,15.0,6.67,2022,1
2022-02-28,Pend Oreille,WA,Truck,0.0,0.0,0.0,5714.0,5714.0,0.0,2022,2
2023-01-31,Chelan,WA,Passenger,554.0,146.0,700.0,54294.0,54994.0,1.27,2023,1
2023-04-30,Solano,CA,Passenger,5.0,0.0,5.0,143.0,148.0,3.38,2023,4
2021-02-28,Bartow,GA,Passenger,0.0,1.0,1.0,5.0,6.0,16.67,2021,2
2021-12-31,Chelan,WA,Passenger,408.0,114.0,522.0,54669.0,55191.0,0.95,2021,12
2021-06-30,St. Clair,IL,Passenger,1.0,0.0,1.0,140.0,141.0,0.71,2021,6
2017-02-28,St. Lucie,FL,Passenger,1.0,0.0,1.0,31.0,32.0,3.12,2017,2
2020-07-31,Adams,WA,Passenger,9.0,7.0,16.0,12861.0,12877.0,0.12,2020,7
2017-10-31,Hawaii,HI,Passenger,1.0,0.0,1.0,77.0,78.0,1.28,2017,10
2024-02-29,Ada,ID,Passenger,2.0,0.0,2.0,78.0,80.0,2.5,2024,2
2018-06-30,Polk,FL,Passenger,1.0,0.0,1.0,69.0,70.0,1.43,2018,6
2022-02-28,Harrison,MS,Passenger,2.0,0.0,2.0,51.0,53.0,3.77,2022,2
2022-03-31,Suffolk,MA,Passenger,0.0,1.0,1.0,25.0,26.0,3.85,2022,3
2018-11-30,Snohomish,WA,Truck,1.0,0.0,1.0,121946.0,121947.0,0.0,2018,11
2022-10-31,Howard,MD,Passenger,0.0,2.0,2.0,60.0,62.0,3.23,2022,10
2018-08-31,Norfolk,MA,Passenger,1.0,0.0,1.0,36.0,37.0,2.7,2018,8
2021-04-30,Maui,HI,Passenger,2.0,0.0,2.0,30.0,32.0,6.25,2021,4
2023-01-31,Maui,HI,Passenger,1.0,0.0,1.0,26.0,27.0,3.7,2023,1
2020-07-31,Spokane,WA,Passenger,752.0,490.0,1242.0,316332.0,317574.0,0.39,2020,7
2022-10-31,Clallam,WA,Passenger,456.0,256.0,712.0,49427.0,50139.0,1.42,2022,10
2017-06-30,Wahkiakum,WA,Truck,0.0,0.0,0.0,1644.0,1644.0,0.0,2017,6
2020-05-31,Dakota,MN,Passenger,0.0,1.0,1.0,31.0,32.0,3.12,2020,5
2020-12-31,Monroe,IL,Passenger,1.0,0.0,1.0,2.0,3.0,33.33,2020,12
2020-07-31,Salt Lake,UT,Passenger,0.0,1.0,1.0,189.0,190.0,0.53,2020,7
2023-08-31,Suffolk,VA,Passenger,1.0,0.0,1.0,93.0,94.0,1.06,2023,8
2021-10-31,Whitman,WA,Truck,0.0,0.0,0.0,8559.0,8559.0,0.0,2021,10
2019-05-31,Snohomish,WA,Truck,1.0,0.0,1.0,122064.0,122065.0,0.0,2019,5
2018-09-30,Okanogan,WA,Truck,0.0,0.0,0.0,16500.0,16500.0,0.0,2018,9
2017-06-30,Walla Walla,WA,Passenger,25.0,26.0,51.0,34844.0,34895.0,0.15,2017,6
2020-12-31,Harnett,NC,Passenger,1.0,0.0,1.0,198.0,199.0,0.5,2020,12
2022-02-28,Kern,CA,Passenger,0.0,1.0,1.0,205.0,206.0,0.49,2022,2
2023-06-30,Loudoun,VA,Passenger,2.0,1.0,3.0,59.0,62.0,4.84,2023,6
2023-07-31,Hillsborough,FL,Passenger,1.0,2.0,3.0,99.0,102.0,2.94,2023,7
2021-06-30,Washington,MD,Passenger,1.0,0.0,1.0,11.0,12.0,8.33,2021,6
2023-05-31,Wahkiakum,WA,Truck,2.0,0.0,2.0,1778.0,1780.0,0.11,2023,5
2018-01-31,Skagit,WA,Passenger,170.0,140.0,310.0,89781.0,90091.0,0.34,2018,1
2022-03-31,Montgomery,TX,Passenger,1.0,0.0,1.0,41.0,42.0,2.38,2022,3
2020-09-30,Nassau,NY,Passenger,4.0,0.0,4.0,33.0,37.0,10.81,2020,9
2020-05-31,Spokane,WA,Passenger,720.0,479.0,1199.0,314927.0,316126.0,0.38,2020,5
2017-11-30,Okanogan,WA,Truck,0.0,0.0,0.0,16273.0,16273.0,0.0,2017,11
2019-12-31,Norfolk,MA,Passenger,1.0,0.0,1.0,37.0,38.0,2.63,2019,12
2023-07-31,St. Louis,MN,Passenger,0.0,1.0,1.0,7.0,8.0,12.5,2023,7
2019-09-30,Powhatan,VA,Passenger,1.0,0.0,1.0,1.0,2.0,50.0,2019,9
2023-01-31,Douglas,WA,Truck,5.0,0.0,5.0,12866.0,12871.0,0.04,2023,1
2021-06-30,Yakima,WA,Truck,0.0,0.0,0.0,61713.0,61713.0,0.0,2021,6
2017-11-30,Cowlitz,WA,Truck,0.0,0.0,0.0,28143.0,28143.0,0.0,2017,11
2020-06-30,Pinal,AZ,Passenger,1.0,0.0,1.0,187.0,188.0,0.53,2020,6
2019-10-31,Yakima,WA,Passenger,116.0,114.0,230.0,165885.0,166115.0,0.14,2019,10
2017-02-28,Los Angeles,CA,Passenger,2.0,1.0,3.0,1393.0,1396.0,0.21,2017,2
2018-09-30,Montgomery,TX,Passenger,2.0,0.0,2.0,65.0,67.0,2.99,2018,9
2023-07-31,Klickitat,WA,Truck,11.0,0.0,11.0,8212.0,8223.0,0.13,2023,7
2021-10-31,Clackamas,OR,Passenger,2.0,0.0,2.0,171.0,173.0,1.16,2021,10
2019-01-31,Juneau,AK,Passenger,0.0,1.0,1.0,40.0,41.0,2.44,2019,1
2019-08-31,Prince George's,MD,Passenger,1.0,1.0,2.0,182.0,184.0,1.09,2019,8
2022-07-31,Allen,IN,Passenger,1.0,0.0,1.0,18.0,19.0,5.26,2022,7
2021-04-30,Tarrant,TX,Passenger,1.0,0.0,1.0,159.0,160.0,0.62,2021,4
2022-05-31,Philadelphia,PA,Passenger,1.0,0.0,1.0,40.0,41.0,2.44,2022,5
2022-09-30,Yellowstone,MT,Passenger,0.0,1.0,1.0,18.0,19.0,5.26,2022,9
2022-07-31,Bartow,GA,Passenger,0.0,1.0,1.0,4.0,5.0,20.0,2022,7
2023-08-31,Kittitas,WA,Passenger,387.0,107.0,494.0,29284.0,29778.0,1.66,2023,8
2020-10-31,Loudoun,VA,Passenger,1.0,0.0,1.0,80.0,81.0,1.23,2020,10
2024-02-29,Muscogee,GA,Passenger,0.0,1.0,1.0,76.0,77.0,1.3,2024,2
2020-12-31,Pacific,WA,Passenger,34.0,35.0,69.0,15718.0,15787.0,0.44,2020,12
2020-01-31,Benton,WA,Truck,0.0,0.0,0.0,42558.0,42558.0,0.0,2020,1
2019-09-30,Kootenai,ID,Passenger,1.0,1.0,2.0,224.0,226.0,0.88,2019,9
2022-06-30,Contra Costa,CA,Passenger,0.0,4.0,4.0,243.0,247.0,1.62,2022,6
2022-01-31,Richmond,NY,Passenger,1.0,0.0,1.0,4.0,5.0,20.0,2022,1
2019-03-31,Whatcom,WA,Passenger,792.0,385.0,1177.0,149708.0,150885.0,0.78,2019,3
2017-03-31,Clark,WA,Passenger,718.0,454.0,1172.0,298251.0,299423.0,0.39,2017,3
2018-05-31,Thurston,WA,Passenger,548.0,467.0,1015.0,192321.0,193336.0,0.52,2018,5
2018-04-30,Marion,IN,Passenger,1.0,0.0,1.0,119.0,120.0,0.83,2018,4
2022-12-31,Ventura,CA,Passenger,3.0,2.0,5.0,221.0,226.0,2.21,2022,12
2019-01-31,Mercer,NJ,Passenger,0.0,1.0,1.0,20.0,21.0,4.76,2019,1
2017-07-31,Pierce,WA,Truck,0.0,0.0,0.0,137349.0,137349.0,0.0,2017,7
2024-02-29,Mason,WA,Truck,21.0,0.0,21.0,19487.0,19508.0,0.11,2024,2
2021-01-31,Klickitat,WA,Passenger,63.0,43.0,106.0,14985.0,15091.0,0.7,2021,1
2021-11-30,Portsmouth,VA,Passenger,0.0,1.0,1.0,86.0,87.0,1.15,2021,11
2022-12-31,Cochise,AZ,Passenger,1.0,0.0,1.0,66.0,67.0,1.49,2022,12
2017-02-28,Charles,MD,Passenger,0.0,1.0,1.0,92.0,93.0,1.08,2017,2
2021-02-28,Houston,GA,Passenger,1.0,0.0,1.0,49.0,50.0,2.0,2021,2
2019-07-31,Shasta,CA,Passenger,1.0,0.0,1.0,43.0,44.0,2.27,2019,7
2018-06-30,Stevens,WA,Truck,0.0,0.0,0.0,18604.0,18604.0,0.0,2018,6
2018-10-31,Yakima,WA,Passenger,71.0,96.0,167.0,164402.0,164569.0,0.1,2018,10
2023-01-31,Adams,WA,Passenger,22.0,11.0,33.0,13000.0,13033.0,0.25,2023,1
2019-08-31,Pacific,WA,Passenger,23.0,29.0,52.0,16041.0,16093.0,0.32,2019,8
2021-11-30,Newport,RI,Passenger,0.0,1.0,1.0,71.0,72.0,1.39,2021,11
2019-05-31,Pinellas,FL,Passenger,1.0,0.0,1.0,118.0,119.0,0.84,2019,5
2019-09-30,Los Angeles,CA,Passenger,7.0,7.0,14.0,1115.0,1129.0,1.24,2019,9
2023-02-28,Harris,TX,Passenger,1.0,1.0,2.0,146.0,148.0,1.35,2023,2
2020-11-30,Tarrant,TX,Passenger,1.0,0.0,1.0,173.0,174.0,0.57,2020,11
2020-10-31,Richland,SC,Passenger,0.0,1.0,1.0,147.0,148.0,0.68,2020,10
2020-01-31,Wahkiakum,WA,Truck,0.0,0.0,0.0,1759.0,1759.0,0.0,2020,1
2022-03-31,Yavapai,AZ,Passenger,0.0,1.0,1.0,33.0,34.0,2.94,2022,3
2023-05-31,Harford,MD,Passenger,1.0,1.0,2.0,41.0,43.0,4.65,2023,5
2020-02-29,Valencia,NM,Passenger,1.0,0.0,1.0,7.0,8.0,12.5,2020,2
2023-04-30,Snohomish,WA,Truck,144.0,0.0,144.0,121782.0,121926.0,0.12,2023,4
2019-08-31,Douglas,NE,Passenger,0.0,1.0,1.0,62.0,63.0,1.59,2019,8
2019-02-28,Washtenaw,MI,Passenger,1.0,0.0,1.0,38.0,39.0,2.56,2019,2
2023-05-31,Hillsborough,FL,Passenger,1.0,2.0,3.0,104.0,107.0,2.8,2023,5
2018-09-30,Marion,OR,Passenger,1.0,0.0,1.0,127.0,128.0,0.78,2018,9
2022-05-31,Newport,RI,Passenger,0.0,1.0,1.0,74.0,75.0,1.33,2022,5
2020-01-31,Houston,GA,Passenger,1.0,0.0,1.0,60.0,61.0,1.64,2020,1
2018-06-30,St. Lucie,FL,Passenger,1.0,0.0,1.0,28.0,29.0,3.45,2018,6
2020-05-31,Santa Cruz,CA,Passenger,1.0,0.0,1.0,37.0,38.0,2.63,2020,5
2019-02-28,Suffolk,MA,Passenger,0.0,1.0,1.0,42.0,43.0,2.33,2019,2
2021-01-31,Jones,GA,Passenger,1.0,0.0,1.0,1.0,2.0,50.0,2021,1
2023-01-31,Los Angeles,CA,Passenger,5.0,5.0,10.0,728.0,738.0,1.36,2023,1
2017-01-31,Walla Walla,WA,Passenger,16.0,21.0,37.0,34864.0,34901.0,0.11,2017,1
2020-02-29,Williamson,TX,Passenger,0.0,2.0,2.0,145.0,147.0,1.36,2020,2
2022-01-31,Santa Clara,CA,Passenger,9.0,1.0,10.0,260.0,270.0,3.7,2022,1
2021-12-31,Queens,NY,Passenger,1.0,0.0,1.0,55.0,56.0,1.79,2021,12
2024-01-31,Greene,OH,Passenger,1.0,0.0,1.0,22.0,23.0,4.35,2024,1
2022-01-31,Benton,WA,Truck,0.0,0.0,0.0,43591.0,43591.0,0.0,2022,1
2023-10-31,Skamania,WA,Passenger,127.0,54.0,181.0,7991.0,8172.0,2.21,2023,10
2017-05-31,Dane,WI,Passenger,1.0,0.0,1.0,122.0,123.0,0.81,2017,5
2018-03-31,Arlington,VA,Passenger,1.0,2.0,3.0,176.0,179.0,1.68,2018,3
2017-04-30,Grant,WA,Passenger,18.0,21.0,39.0,60481.0,60520.0,0.06,2017,4
2023-08-31,Pierce,WA,Passenger,8316.0,2908.0,11224.0,528096.0,539320.0,2.08,2023,8
2021-06-30,Mason,WA,Passenger,215.0,138.0,353.0,48155.0,48508.0,0.73,2021,6
2020-08-31,Contra Costa,CA,Passenger,4.0,3.0,7.0,299.0,306.0,2.29,2020,8
2020-11-30,Washington,OR,Passenger,1.0,0.0,1.0,430.0,431.0,0.23,2020,11
2022-10-31,Maricopa,AZ,Passenger,8.0,4.0,12.0,893.0,905.0,1.33,2022,10
2018-10-31,Denver,CO,Passenger,1.0,0.0,1.0,130.0,131.0,0.76,2018,10
2019-08-31,Santa Fe,NM,Passenger,0.0,1.0,1.0,40.0,41.0,2.44,2019,8
2023-12-31,Pinal,AZ,Passenger,1.0,0.0,1.0,66.0,67.0,1.49,2023,12
2017-06-30,Lee,AL,Passenger,1.0,0.0,1.0,36.0,37.0,2.7,2017,6
2020-01-31,Jones,GA,Passenger,1.0,0.0,1.0,1.0,2.0,50.0,2020,1
2020-03-31,Snohomish,WA,Passenger,4369.0,1756.0,6125.0,537299.0,543424.0,1.13,2020,3
2018-04-30,Adams,WA,Passenger,5.0,4.0,9.0,12520.0,12529.0,0.07,2018,4
2021-02-28,Island,WA,Truck,0.0,0.0,0.0,21402.0,21402.0,0.0,2021,2
2022-11-30,Calvert,MD,Passenger,0.0,2.0,2.0,80.0,82.0,2.44,2022,11
2018-02-28,Kent,MI,Passenger,0.0,1.0,1.0,35.0,36.0,2.78,2018,2
2019-04-30,Lewis,WA,Passenger,95.0,93.0,188.0,58814.0,59002.0,0.32,2019,4
2021-10-31,District of Columbia,DC,Passenger,4.0,0.0,4.0,196.0,200.0,2.0,2021,10
2021-04-30,Lake,FL,Passenger,1.0,0.0,1.0,24.0,25.0,4.0,2021,4
2018-05-31,Lee,FL,Passenger,1.0,0.0,1.0,57.0,58.0,1.72,2018,5
2022-06-30,Frederick,MD,Passenger,1.0,1.0,2.0,62.0,64.0,3.12,2022,6
2017-10-31,Pierce,WA,Truck,0.0,0.0,0.0,136999.0,136999.0,0.0,2017,10
2021-10-31,Orange,CA,Passenger,5.0,2.0,7.0,425.0,432.0,1.62,2021,10
2021-04-30,Virginia Beach,VA,Passenger,2.0,0.0,2.0,626.0,628.0,0.32,2021,4
2019-01-31,Polk,FL,Passenger,1.0,0.0,1.0,69.0,70.0,1.43,2019,1
2017-09-30,Jefferson,NY,Passenger,1.0,0.0,1.0,242.0,243.0,0.41,2017,9
2023-06-30,Honolulu,HI,Passenger,3.0,3.0,6.0,282.0,288.0,2.08,2023,6
2020-07-31,Brevard,FL,Passenger,0.0,1.0,1.0,86.0,87.0,1.15,2020,7
2020-11-30,Allegheny,PA,Passenger,1.0,1.0,2.0,75.0,77.0,2.6,2020,11
2019-03-31,Nantucket,MA,Passenger,1.0,0.0,1.0,4.0,5.0,20.0,2019,3
2020-06-30,Putnam,TN,Passenger,0.0,1.0,1.0,3.0,4.0,25.0,2020,6
2019-03-31,Berkshire,MA,Passenger,0.0,1.0,1.0,4.0,5.0,20.0,2019,3
2021-07-31,Jefferson,WA,Passenger,338.0,183.0,521.0,24873.0,25394.0,2.05,2021,7
2021-03-31,New London,CT,Passenger,1.0,1.0,2.0,226.0,228.0,0.88,2021,3
2021-08-31,Bexar,TX,Passenger,2.0,4.0,6.0,540.0,546.0,1.1,2021,8
2023-01-31,Benton,WA,Truck,13.0,0.0,13.0,43319.0,43332.0,0.03,2023,1
2023-04-30,York,VA,Passenger,1.0,0.0,1.0,77.0,78.0,1.28,2023,4
2020-03-31,Manassas,VA,Passenger,0.0,1.0,1.0,5.0,6.0,16.67,2020,3
2018-08-31,Snohomish,WA,Truck,1.0,0.0,1.0,121709.0,121710.0,0.0,2018,8
2017-06-30,Lane,OR,Passenger,0.0,1.0,1.0,240.0,241.0,0.41,2017,6
2019-08-31,Honolulu,HI,Passenger,4.0,2.0,6.0,506.0,512.0,1.17,2019,8
2022-10-31,Skagit,WA,Passenger,884.0,349.0,1233.0,89400.0,90633.0,1.36,2022,10
2018-03-31,Stevens,WA,Passenger,9.0,21.0,30.0,31599.0,31629.0,0.09,2018,3
2020-02-29,Columbia,WA,Passenger,3.0,3.0,6.0,2434.0,2440.0,0.25,2020,2
2019-11-30,Cook,IL,Passenger,1.0,0.0,1.0,241.0,242.0,0.41,2019,11
2022-11-30,Providence,RI,Passenger,1.0,0.0,1.0,19.0,20.0,5.0,2022,11
2023-03-31,Berkeley,SC,Passenger,0.0,1.0,1.0,107.0,108.0,0.93,2023,3
2021-11-30,Juneau,AK,Passenger,0.0,1.0,1.0,30.0,31.0,3.23,2021,11
2023-07-31,Cochise,AZ,Passenger,1.0,0.0,1.0,55.0,56.0,1.79,2023,7
2022-11-30,Benton,WA,Passenger,909.0,492.0,1401.0,135745.0,137146.0,1.02,2022,11
2018-01-31,Norfolk,VA,Passenger,1.0,1.0,2.0,323.0,325.0,0.62,2018,1
2022-10-31,Ray,MO,Passenger,0.0,1.0,1.0,1.0,2.0,50.0,2022,10
2021-01-31,Orange,NC,Passenger,0.0,1.0,1.0,12.0,13.0,7.69,2021,1
2017-12-31,Albemarle,VA,Passenger,0.0,1.0,1.0,32.0,33.0,3.03,2017,12
2023-06-30,Washington,OR,Passenger,1.0,0.0,1.0,235.0,236.0,0.42,2023,6
